Title,Sanskrit,English-Sanskrit,Synonyms,Translation
1.1,धृतराष्ट्र उवाच\nधर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सव: ।\nमामका: पाण्डवाश्चैव किमकुर्वत सञ्जय ॥ १ ॥,dhṛtarāṣṭra uvāca\ndharma-kṣetre kuru-kṣetre\nsamavetā yuyutsavaḥ\nmāmakāḥ pāṇḍavāś caiva\nkim akurvata sañjaya\n\n,dhṛtarāṣṭraḥ uvāca — King Dhṛtarāṣṭra said; dharma-kṣetre — in the place of pilgrimage; kuru-kṣetre — in the place named Kurukṣetra; samavetāḥ — assembled; yuyutsavaḥ — desiring to fight; māmakāḥ — my party (sons); pāṇḍavāḥ — the sons of Pāṇḍu; ca — and; eva — certainly; kim — what; akurvata — did they do; sañjaya — O Sañjaya.,"Dhṛtarāṣṭra said: O Sañjaya, after my sons and the sons of Pāṇḍu assembled in the place of pilgrimage at Kurukṣetra, desiring to fight, what did they do?"
1.2,सञ्जय उवाच\nदृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।\nआचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥ २ ॥,sañjaya uvāca\ndṛṣṭvā tu pāṇḍavānīkaṁ\nvyūḍhaṁ duryodhanas tadā\nācāryam upasaṅgamya\nrājā vacanam abravīt\n\n,sañjayaḥ uvāca — Sañjaya said; dṛṣṭvā — after seeing; tu — but; pāṇḍava-anīkam — the soldiers of the Pāṇḍavas; vyūḍham — arranged in a military phalanx; duryodhanaḥ — King Duryodhana; tadā — at that time; ācāryam — the teacher; upasaṅgamya — approaching; rājā — the king; vacanam — words; abravīt — spoke.,"Sañjaya said: O King, after looking over the army arranged in military formation by the sons of Pāṇḍu, King Duryodhana went to his teacher and spoke the following words."
1.3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।\nव्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ ३ ॥,paśyaitāṁ pāṇḍu-putrānām\nācārya mahatīṁ camūm\nvyūḍhāṁ drupada-putreṇa\ntava śiṣyeṇa dhīmatā\n\n,paśya — behold; etām — this; pāṇḍu-putrānām — of the sons of Pāṇḍu; ācārya — O teacher; mahatīm — great; camūm — military force; vyūḍhām — arranged; drupada-putreṇa — by the son of Drupada; tava — your; śiṣyeṇa — disciple; dhī-matā — very intelligent.,"O my teacher, behold the great army of the sons of Pāṇḍu, so expertly arranged by your intelligent disciple the son of Drupada."
1.4,अत्र श‍ूरा महेष्वासा भीमार्जुनसमा युधि ।\nयुयुधानो विराटश्च द्रुपदश्च महारथः ॥ ४ ॥,atra śūrā maheṣv-āsā\nbhīmārjuna-samā yudhi\nyuyudhāno virāṭaś ca\ndrupadaś ca mahā-rathaḥ\n\n,atra — here; śūrāḥ — heroes; mahā-iṣu-āsāḥ — mighty bowmen; bhīma-arjuna — to Bhīma and Arjuna; samāḥ — equal; yudhi — in the fight; yuyudhānaḥ — Yuyudhāna; virāṭaḥ — Virāṭa; ca — also; drupadaḥ — Drupada; ca — also; mahā-rathaḥ — great fighter.,"Here in this army are many heroic bowmen equal in fighting to Bhīma and Arjuna: great fighters like Yuyudhāna, Virāṭa and Drupada."
1.5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।\nपुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ ५ ॥,dhṛṣṭaketuś cekitānaḥ\nkāśirājaś ca vīryavān\npurujit kuntibhojaś ca\nśaibyaś ca nara-puṅgavaḥ\n\n,dhṛṣṭaketuḥ — Dhṛṣṭaketu; cekitānaḥ — Cekitāna; kāśirājaḥ — Kāśirāja; ca — also; vīrya-vān — very powerful; purujit — Purujit; kuntibhojaḥ — Kuntibhoja; ca — and; śaibyaḥ — Śaibya; ca — and; nara-puṅgavaḥ — hero in human society.,"There are also great heroic, powerful fighters like Dhṛṣṭaketu, Cekitāna, Kāśirāja, Purujit, Kuntibhoja and Śaibya."
1.6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।\nसौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ ६ ॥,yudhāmanyuś ca vikrānta\nuttamaujāś ca vīryavān\nsaubhadro draupadeyāś ca\nsarva eva mahā-rathāḥ\n\n,yudhāmanyuḥ — Yudhāmanyu; ca — and; vikrāntaḥ — mighty; uttamaujāḥ — Uttamaujā; ca — and; vīrya-vān — very powerful; saubhadraḥ — the son of Subhadrā; draupadeyāḥ — the sons of Draupadī; ca — and; sarve — all; eva — certainly; mahā-rathāḥ — great chariot fighters.,"There are the mighty Yudhāmanyu, the very powerful Uttamaujā, the son of Subhadrā and the sons of Draupadī. All these warriors are great chariot fighters."
1.7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।\nनायका मम सैन्यस्य संज्ञार्थ तान्ब्रवीमि ते ॥ ७ ॥,asmākaṁ tu viśiṣṭā ye\ntān nibodha dvijottama\nnāyakā mama sainyasya\nsaṁjñārthaṁ tān bravīmi te\n\n,"asmākam — our; tu — but; viśiṣṭāḥ — especially powerful; ye — who; tān — them; nibodha — just take note of, be informed; dvija-uttama — O best of the brāhmaṇas; nāyakāḥ — captains; mama — my; sainyasya — of the soldiers; saṁjñā-artham — for information; tān — them; bravīmi — I am speaking; te — to you.","But for your information, O best of the brāhmaṇas, let me tell you about the captains who are especially qualified to lead my military force."
1.8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।\nअश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ ८ ॥,bhavān bhīṣmaś ca karṇaś ca\nkṛpaś ca samitiṁ-jayaḥ\naśvatthāmā vikarṇaś ca\nsaumadattis tathaiva ca\n\n,bhavān — your good self; bhīṣmaḥ — Grandfather Bhīṣma; ca — also; karṇaḥ — Karṇa; ca — and; kṛpaḥ — Kṛpa; ca — and; samitim-jayaḥ — always victorious in battle; aśvatthāmā — Aśvatthāmā; vikarṇaḥ — Vikarṇa; ca — as well as; saumadattiḥ — the son of Somadatta; tathā — as well as; eva — certainly; ca — also.,"There are personalities like you, Bhīṣma, Karṇa, Kṛpa, Aśvatthāmā, Vikarṇa and the son of Somadatta called Bhūriśravā, who are always victorious in battle."
1.9,अन्ये च बहवः श‍ूरा मदर्थे त्यक्तजीविताः ।\nनानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ ९ ॥,anye ca bahavaḥ śūrā\nmad-arthe tyakta-jīvitāḥ\nnānā-śastra-praharaṇāḥ\nsarve yuddha-viśāradāḥ\n\n,anye — others; ca — also; bahavaḥ — in great numbers; śūrāḥ — heroes; mat-arthe — for my sake; tyakta-jīvitāḥ — prepared to risk life; nānā — many; śastra — weapons; praharaṇāḥ — equipped with; sarve — all of them; yuddha-viśāradāḥ — experienced in military science.,"There are many other heroes who are prepared to lay down their lives for my sake. All of them are well equipped with different kinds of weapons, and all are experienced in military science."
1.10,अपर्याप्त‍ं तदस्माकं बलं भीष्माभिरक्षितम् ।\nपर्याप्त‍ं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १० ॥,aparyāptaṁ tad asmākaṁ\nbalaṁ bhīṣmābhirakṣitam\nparyāptaṁ tv idam eteṣāṁ\nbalaṁ bhīmābhirakṣitam\n\n,aparyāptam — immeasurable; tat — that; asmākam — of ours; balam — strength; bhīṣma — by Grandfather Bhīṣma; abhirakṣitam — perfectly protected; paryāptam — limited; tu — but; idam — all this; eteṣām — of the Pāṇḍavas; balam — strength; bhīma — by Bhīma; abhirakṣitam — carefully protected.,"Our strength is immeasurable, and we are perfectly protected by Grandfather Bhīṣma, whereas the strength of the Pāṇḍavas, carefully protected by Bhīma, is limited."
1.11,अयनेषु च सर्वेषु यथाभागवमस्थिताः ।\nभीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ ११ ॥,ayaneṣu ca sarveṣu\nyathā-bhāgam avasthitāḥ\nbhīṣmam evābhirakṣantu\nbhavantaḥ sarva eva hi\n\n,ayaneṣu — in the strategic points; ca — also; sarveṣu — everywhere; yathā-bhāgam — as differently arranged; avasthitāḥ — situated; bhīṣmam — unto Grandfather Bhīṣma; eva — certainly; abhirakṣantu — should give support; bhavantaḥ — you; sarve — all respectively; eva hi — certainly.,"All of you must now give full support to Grandfather Bhīṣma, as you stand at your respective strategic points of entrance into the phalanx of the army."
1.12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः ।\nसिंहनादं विनद्योच्च‍ैः शङ्खं दध्मौ प्रतापवान् ॥ १२ ॥,tasya sañjanayan harṣaṁ\nkuru-vṛddhaḥ pitāmahaḥ\nsiṁha-nādaṁ vinadyoccaiḥ\nśaṅkhaṁ dadhmau pratāpavān\n\n,"tasya — his; sañjanayan — increasing; harṣam — cheerfulness; kuru-vṛddhaḥ — the grandsire of the Kuru dynasty (Bhīṣma); pitāmahaḥ — the grandfather; siṁha-nādam — roaring sound, like that of a lion; vinadya — vibrating; uccaiḥ — very loudly; śaṅkham — conchshell; dadhmau — blew; pratāpa-vān — the valiant.","Then Bhīṣma, the great valiant grandsire of the Kuru dynasty, the grandfather of the fighters, blew his conchshell very loudly, making a sound like the roar of a lion, giving Duryodhana joy."
1.13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः ।\nसहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १३ ॥,tataḥ śaṅkhāś ca bheryaś ca\npaṇavānaka-gomukhāḥ\nsahasaivābhyahanyanta\nsa śabdas tumulo ’bhavat\n\n,tataḥ — thereafter; śaṅkhāḥ — conchshells; ca — also; bheryaḥ — large drums; ca — and; paṇava-ānaka — small drums and kettledrums; go-mukhāḥ — horns; sahasā — all of a sudden; eva — certainly; abhyahanyanta — were simultaneously sounded; saḥ — that; śabdaḥ — combined sound; tumulaḥ — tumultuous; abhavat — became.,"After that, the conchshells, drums, bugles, trumpets and horns were all suddenly sounded, and the combined sound was tumultuous."
